Foldername,Line Number,B-Moses,B-Norm,B-NLTK,Rouge-L,METEOR
replication/llama_7b,61,0.14,12.19,7.84,0,0.07
replication/llama_7b,62,0.50,,,,
replication/llama_7b,63,0.71,23.62,22.06,0.471,0.36
replication/llama_7b,64,0.42,15.15,12.00,0.286,0.27
replication/llama_7b,65,0.25,13.89,8.02,0.25,0.11
replication/llama_7b,66,0.50,9.76,8.55,0.4,0.29
replication/llama_7b,67,0.25,5.76,3.78,0.143,0.11
replication/llama_7b,68,0.11,12.19,7.84,0.167,0.06
replication/llama_7b,69,0.33,16.15,8.25,0.25,0.15
replication/llama_7b,70,0.17,13.89,8.02,0.25,0.08
replication/llama_7b,71,0.40,42.64,10.08,0.5,0.19
replication/llama_7b,72,0.50,11.57,10.10,0,0.28
replication/llama_7b,73,0.50,14.29,10.26,0.2,0.31
replication/llama_7b,74,0.00,0.00,0.00,0,0.00
replication/llama_7b,75,0.00,0.00,0.00,0,0.00
replication/llama_7b,76,0.14,16.15,8.25,0.286,0.07
replication/llama_7b,77,0.00,0.00,0.00,0,0.55
replication/llama_7b,78,0.00,0.00,0.00,0,0.00
replication/llama_7b,79,0.00,0.00,0.00,0,0.00
replication/llama_7b,80,0.00,0.00,0.00,0,0.00
replication/llama_7b,81,0.00,0.00,0.00,0,0.00
replication/llama_7b,82,,,,,
replication/llama_7b,83,1.00,24.03,20.71,0.444,0.51
replication/llama_7b,84,1.00,,,,
replication/llama_7b,85,0.40,,,,
replication/llama_7b,86,0.00,0.00,0.00,0,0.00
replication/llama_7b,87,0.00,0.00,0.00,0,0.00
replication/llama_7b,88,0.33,13.94,7.61,0.333,0.22
replication/llama_7b,89,0.18,11.83,6.61,0.182,0.09
replication/llama_7b,90,0.00,0.00,0.00,0,0.00
replication/llama_7b,91,1.62,24.87,22.90,0.571,0.39
replication/llama_7b,92,0.00,0.00,0.00,0,0.00
replication/llama_7b,93,0.00,0.00,0.00,0,0.00
replication/llama_7b,94,0.00,0.00,0.00,0,0.04
replication/llama_7b,95,0.18,11.65,4.66,0.364,0.09
replication/llama_7b,96,0.30,11.03,7.02,0,0.05
replication/llama_7b,97,0.10,10.86,7.70,0.154,0.05
replication/llama_7b,98,0.00,0.00,0.00,0,0.00
replication/llama_7b,99,0.33,10.86,7.70,0.2,0.14
replication/llama_7b,100,0.25,14.49,9.27,0,0.32
replication/llama_7b,101,0.87,22.75,15.92,0.333,0.20
replication/llama_7b,102,0.00,0.00,0.00,0,0.08
replication/llama_7b,103,1.00,19.64,8.02,0.5,0.54
replication/llama_7b,104,0.14,4.71,7.22,0.125,0.13
replication/llama_7b,105,0.40,9.73,8.39,0.182,0.17
replication/llama_7b,106,0.11,,,,
replication/llama_7b,107,0.50,18.28,11.23,0.571,0.24
replication/llama_7b,108,0.33,10.60,8.55,0,0.15
replication/llama_7b,109,0.33,9.79,7.58,0.2,0.13
replication/llama_7b,110,0.17,10.86,7.70,0.182,0.16
replication/llama_7b,111,0.00,0.00,0.00,0,0.00
replication/llama_7b,112,0.27,11.73,7.48,0.143,0.18
replication/llama_7b,113,0.00,0.00,0.00,0,0.00
replication/llama_7b,114,0.00,0.00,0.00,0,0.13
replication/llama_7b,115,0.15,9.73,8.39,0.167,0.08
replication/llama_7b,116,,,,,
replication/llama_7b,117,0.00,0.00,0.00,0,0.00
replication/llama_7b,118,0.25,9.79,7.58,0.222,0.11
replication/llama_7b,119,0.25,16.15,8.25,0.222,0.12
replication/llama_7b,120,0.12,6.08,2.60,0.133,0.06
replication/llama_7b,121,0.57,8.58,9.59,0.267,0.18
replication/llama_7b,122,0.11,5.20,7.06,0.118,0.05
replication/llama_7b,123,0.33,8.91,7.48,0.222,0.26
replication/llama_7b,124,0.00,0.00,0.00,0,0.00
replication/llama_7b,125,0.13,7.95,4.76,0.133,0.18
replication/llama_7b,126,0.40,15.35,8.98,0.182,0.20
replication/llama_7b,127,0.00,0.00,0.00,0,0.00
replication/llama_7b,128,0.25,4.13,6.93,0,0.08
replication/llama_7b,129,,,,,
replication/llama_7b,130,0.00,0.00,0.00,0,0.00
replication/llama_7b,131,0.25,5.20,7.06,0,0.09
replication/llama_7b,132,0.00,0.00,0.00,0,0.00
replication/llama_7b,133,0.20,12.19,7.84,0.2,0.28
replication/llama_7b,134,0.75,11.86,12.21,0.444,0.33
replication/llama_7b,135,0.43,9.95,9.16,0.143,0.19
replication/llama_7b,136,0.17,20.34,7.35,0.25,0.08
replication/llama_7b,137,0.33,8.18,7.40,0.182,0.12
replication/llama_7b,138,0.33,10.60,7.48,0.154,0.23
replication/llama_7b,139,0.27,10.03,8.89,0.125,0.17
replication/llama_7b,140,1.12,20.58,19.84,0.615,0.57
replication/llama_7b,141,0.57,13.95,10.42,0.429,0.34
replication/llama_7b,142,,,,,
replication/llama_7b,143,0.17,4.71,7.00,0,0.07
replication/llama_7b,144,0.25,10.86,7.70,0.182,0.11
replication/llama_7b,145,0.00,0.00,0.00,0,0.00
replication/llama_7b,146,0.45,6.45,9.38,0.095,0.19
replication/llama_7b,147,0.00,0.00,0.00,0,0.00
replication/llama_7b,148,0.11,12.58,6.20,0,0.06
replication/llama_7b,149,0.20,16.15,8.25,0,0.10
replication/llama_7b,150,0.00,0.00,0.00,0,0.00
replication/llama_7b,151,0.57,19.07,13.25,0.4,0.35
replication/llama_7b,152,0.10,6.16,7.17,0,0.05
replication/llama_7b,153,0.50,12.88,9.91,0.167,0.46
replication/llama_7b,154,0.00,0.00,0.00,0,0.14
replication/llama_7b,155,0.20,10.86,7.70,0,0.09
replication/llama_7b,156,0.00,0.00,0.00,0,0.09
replication/llama_7b,157,0.31,8.07,4.13,0.267,0.13
replication/llama_7b,158,0.00,0.00,0.00,0,0.10
replication/llama_7b,159,0.14,,,,
replication/llama_7b,160,0.16,6.34,3.89,0.267,0.10
replication/llama_7b,161,0.00,0.00,0.00,0,0.00
replication/llama_7b,162,0.29,7.81,8.02,0.154,0.13
replication/llama_7b,163,0.00,0.00,0.00,0,0.12
replication/llama_7b,164,0.31,12.47,7.57,0.364,0.25
replication/llama_7b,165,0.00,0.00,0.00,0,0.08
replication/llama_7b,166,0.33,16.15,0.00,0.222,0.15
replication/llama_7b,167,0.14,12.19,7.84,0.2,0.14
replication/llama_7b,168,0.00,0.00,0.00,0,0.00
replication/llama_7b,169,0.12,10.86,7.70,0.143,0.31
replication/llama_7b,170,0.10,8.18,7.40,0.143,0.18
replication/llama_7b,171,0.00,0.00,0.00,0,0.00
replication/llama_7b,172,0.33,8.18,7.40,0.182,0.12
replication/llama_7b,173,1.00,21.67,11.97,0.462,0.51
replication/llama_7b,174,0.00,0.00,0.00,0,0.06
replication/llama_7b,175,0.00,0.00,0.00,0,0.00
replication/llama_7b,176,0.80,21.74,14.15,0.6,0.48
replication/llama_7b,177,0.50,19.21,10.08,0.222,0.23
replication/llama_7b,178,0.00,0.00,0.00,0,0.00
replication/llama_7b,179,0.50,28.57,8.98,0.25,0.24
replication/llama_7b,180,0.00,0.00,0.00,0,0.00
replication/llama_7b,181,0.00,0.00,0.00,0,0.00
replication/llama_7b,182,0.00,0.00,0.00,0,0.00
replication/llama_7b,183,0.00,0.00,0.00,0,0.00
replication/llama_7b,184,0.14,13.89,8.02,0,0.07
replication/llama_7b,185,0.20,12.19,7.84,0.182,0.09
replication/llama_7b,186,0.67,20.49,14.68,0.308,0.22
replication/llama_7b,187,0.11,7.56,0.00,0.143,0.11
replication/llama_7b,188,0.25,16.15,8.25,0,0.23
replication/llama_7b,189,0.10,10.86,7.70,0,0.05
replication/llama_7b,190,0.17,20.34,7.35,0.25,0.08
replication/llama_7b,191,0.20,10.86,7.70,0.182,0.09
replication/llama_7b,192,0.17,8.64,4.04,0.2,0.04
replication/llama_7b,193,0.00,0.00,0.00,0,0.12
replication/llama_7b,194,0.10,4.30,6.95,0,0.04
replication/llama_7b,195,0.17,9.79,7.58,0,0.08
replication/llama_7b,196,0.10,5.20,3.30,0.118,0.08
replication/llama_7b,197,0.00,0.00,0.00,0,0.00
replication/llama_7b,198,0.20,9.79,7.58,0,0.09
replication/llama_7b,199,0.57,25.28,15.32,0.545,0.37
replication/llama_7b,200,0.11,8.91,0.00,0.125,0.05
replication/llama_7b,201,0.29,16.52,9.62,0,0.14
replication/llama_7b,202,0.08,8.25,6.89,0.111,0.04
replication/llama_7b,203,0.00,0.00,0.00,0,0.00
replication/llama_7b,204,0.20,9.79,7.58,0.167,0.09
replication/llama_7b,205,0.17,10.86,7.70,0,0.08
replication/llama_7b,206,0.00,0.00,0.00,0,0.00
replication/llama_7b,207,0.10,9.79,0.00,0.154,0.05
replication/llama_7b,208,0.33,17.79,10.13,0.2,0.29
replication/llama_7b,209,0.00,0.00,0.00,0,0.00
replication/llama_7b,210,0.00,0.00,0.00,0,0.00
replication/llama_7b,211,0.25,11.64,8.75,0.154,0.12
replication/llama_7b,212,0.17,9.79,7.58,0.167,0.08
replication/llama_7b,213,0.33,11.64,7.58,0.364,0.23
replication/llama_7b,214,0.25,6.16,7.17,0.154,0.09
replication/llama_7b,215,0.12,7.56,7.33,0.118,0.06
replication/llama_7b,216,0.00,0.00,0.00,0,0.00
replication/llama_7b,217,0.40,9.73,8.39,0.308,0.44
replication/llama_7b,218,0.43,14.29,7.70,0.444,0.21
replication/llama_7b,219,1.57,18.15,20.54,0.353,0.30
replication/llama_7b,220,0.14,8.91,7.48,0.154,0.13
replication/llama_7b,221,0.50,5.60,8.39,0.235,0.17
replication/llama_7b,222,0.09,9.45,0.00,0.167,0.14
replication/llama_7b,223,0.36,12.81,7.77,0.133,0.23
replication/llama_7b,224,0.75,13.45,12.58,0.308,0.59
replication/llama_7b,225,0.20,6.16,7.17,0.133,0.08
replication/llama_7b,226,0.00,0.00,0.00,0,0.00
replication/llama_7b,227,0.62,12.24,11.35,0.333,0.35
replication/llama_7b,228,0.00,0.00,0.00,0,0.00
replication/llama_7b,229,0.00,0.00,0.00,0,0.00
replication/llama_7b,230,0.13,8.42,6.66,0,0.07
replication/llama_7b,231,0.17,7.03,7.27,0.143,0.07
replication/llama_7b,232,0.14,12.19,7.84,0,0.07
replication/llama_7b,233,1.50,25.10,11.82,0.6,0.65
replication/llama_7b,234,0.25,14.49,9.27,0.167,0.12
replication/llama_7b,235,0.00,0.00,0.00,0,0.14
replication/llama_7b,236,0.14,10.86,7.70,0,0.07
replication/llama_7b,237,0.20,16.15,8.25,0,0.49
replication/llama_7b,238,0.33,24.03,8.98,0.286,0.16
replication/llama_7b,239,0.33,11.64,8.75,0.333,0.15
replication/llama_7b,240,0.07,5.36,1.48,0,0.04
replication/llama_7b,241,0.22,14.78,8.49,0.167,0.11
replication/llama_7b,242,0.25,3.81,6.89,0,0.08
replication/llama_7b,243,,,,,
replication/llama_7b,244,0.00,0.00,0.00,0,0.05
replication/llama_7b,245,0.33,14.29,10.26,0,0.22
replication/llama_7b,246,0.60,8.11,7.92,0.167,0.24
replication/llama_7b,247,0.00,0.00,0.00,0,0.00
replication/llama_7b,248,0.50,11.57,10.36,0.286,0.24
replication/llama_7b,249,0.50,9.95,9.16,0,0.17
replication/llama_7b,250,0.25,12.91,8.98,0.333,0.12
replication/llama_7b,251,0.14,16.15,8.25,0.182,0.07
replication/llama_7b,252,0.25,13.89,8.02,0,0.11
replication/llama_7b,253,0.21,9.25,8.98,0.118,0.11
replication/llama_7b,254,0.00,0.00,0.00,0,0.00
replication/llama_7b,255,0.00,0.00,0.00,0,0.00
replication/llama_7b,256,0.09,9.98,6.28,0,0.05
replication/llama_7b,257,0.00,0.00,0.00,0,0.00
replication/llama_7b,258,0.20,8.91,7.48,0,0.09
replication/llama_7b,259,0.00,0.00,0.00,0,0.08
replication/llama_7b,260,,,,,
replication/llama_7b,261,0.70,5.64,13.31,0.167,0.34
replication/llama_7b,262,1.00,22.84,13.48,0.333,0.55
replication/llama_7b,263,0.90,8.44,11.49,0.25,0.17
replication/llama_7b,264,0.25,16.15,8.25,0.25,0.12
replication/llama_7b,265,0.00,0.00,0.00,0,0.00
replication/llama_7b,266,0.00,0.00,0.00,0,0.00
replication/llama_7b,267,0.00,0.00,0.00,0,0.00
replication/llama_7b,268,0.25,12.19,7.84,0,0.11
replication/llama_7b,269,0.43,15.35,11.26,0.333,0.26
replication/llama_7b,270,0.27,8.11,8.68,0,0.13
replication/llama_7b,271,,,,,
replication/llama_7b,272,0.10,11.03,7.02,0,0.05
replication/llama_7b,273,0.11,8.18,7.40,0.133,0.11
replication/llama_7b,274,0.00,0.00,0.00,0,0.07
replication/llama_7b,275,0.36,9.94,9.84,0.143,0.18
replication/llama_7b,276,0.29,12.91,8.98,0.154,0.21
replication/llama_7b,277,0.00,0.00,0.00,0,0.00
replication/llama_7b,278,0.25,16.52,8.02,0.182,0.12
replication/llama_7b,279,0.27,7.22,8.44,0.105,0.13
replication/llama_7b,280,0.44,17.58,11.32,0.308,0.22
replication/llama_7b,281,0.57,21.74,14.15,0.4,0.36
replication/llama_7b,282,0.12,9.79,7.58,0.167,0.06
replication/llama_7b,283,0.38,13.88,11.56,0.143,0.29
replication/llama_7b,284,0.12,7.06,5.07,0.154,0.06
replication/llama_7b,285,0.00,0.00,0.00,0,0.00
replication/llama_7b,286,0.25,11.91,8.40,0.2,0.13
replication/llama_7b,287,0.00,0.00,0.00,0,0.11
replication/llama_7b,288,0.00,0.00,0.00,0,0.00
replication/llama_7b,289,0.25,11.88,7.66,0.308,0.13
replication/llama_7b,290,0.07,7.08,5.83,0,0.03
replication/llama_7b,291,0.00,0.00,0.00,0,0.00
replication/llama_7b,292,0.00,0.00,0.00,0,0.00
replication/llama_7b,293,0.00,0.00,0.00,0,0.00
replication/llama_7b,294,0.14,10.86,7.70,0,0.27
replication/llama_7b,295,0.00,9.79,0.00,0.167,0.00
replication/llama_7b,296,0.17,10.86,7.70,0,0.08
replication/llama_7b,297,0.33,12.91,8.98,0.182,0.23
replication/llama_7b,298,0.33,6.66,8.56,0.125,0.10
replication/llama_7b,299,1.00,35.93,23.04,0.667,0.62
replication/llama_7b,300,0.33,10.86,0.00,0.182,0.14
replication/llama_7b,301,0.00,0.00,0.00,0,0.00
replication/llama_7b,302,0.75,27.30,14.76,0.286,0.61
replication/llama_7b,303,0.33,14.29,10.26,0.167,0.16
replication/llama_7b,304,0.25,11.85,9.05,0.143,0.13
replication/llama_7b,305,0.00,0.00,0.00,0,0.00
replication/llama_7b,306,0.91,15.28,16.71,0.533,0.54
replication/llama_7b,307,0.44,13.84,11.08,0.154,0.22
replication/llama_7b,308,0.12,5.50,2.02,0.333,0.10
replication/llama_7b,309,0.20,9.79,7.58,0,0.09
replication/llama_7b,310,0.14,9.79,7.58,0.182,0.14
replication/llama_7b,311,0.17,7.03,7.27,0.133,0.14
replication/llama_7b,312,0.33,16.15,0.00,0.286,0.15
replication/llama_7b,313,0.00,0.00,0.00,0,0.14
replication/llama_7b,314,0.05,2.81,1.12,0,0.03
replication/llama_7b,315,0.00,0.00,0.00,0,0.00
replication/llama_7b,316,0.11,12.19,7.84,0,0.06
replication/llama_7b,317,0.11,8.91,7.48,0,0.11
replication/llama_7b,318,0.50,15.18,9.50,0.444,0.32
replication/llama_7b,319,0.00,0.00,0.00,0,0.00
replication/llama_7b,320,0.00,0.00,0.00,0,0.00
replication/llama_7b,321,,,,,
replication/llama_7b,322,0.25,11.73,9.62,0.267,0.12
replication/llama_7b,323,0.20,,,,
replication/llama_7b,324,0.00,0.00,0.00,0,0.00
replication/llama_7b,325,0.08,8.18,7.40,0.154,0.04
replication/llama_7b,326,0.30,5.66,7.48,0.222,0.18
replication/llama_7b,327,0.00,0.00,0.00,0,0.00
replication/llama_7b,328,1.71,31.19,31.11,0.364,0.75
replication/llama_7b,329,0.27,10.77,9.38,0.133,0.18
replication/llama_7b,330,0.00,0.00,0.00,0,0.00
replication/llama_7b,331,0.14,16.15,8.25,0,0.07
replication/llama_7b,332,0.50,8.99,8.25,0.167,0.30
replication/llama_7b,333,0.33,,,,
replication/llama_7b,334,0.00,0.00,0.00,0,0.09
replication/llama_7b,335,0.23,6.66,8.56,0.105,0.27
replication/llama_7b,336,0.33,8.91,7.48,0.154,0.13
replication/llama_7b,337,0.00,0.00,0.00,0,0.00
replication/llama_7b,338,0.00,0.00,0.00,0,0.00
replication/llama_7b,339,0.00,0.00,0.00,0,0.00
replication/llama_7b,340,0.00,0.00,0.00,0,0.00
replication/llama_7b,341,0.67,25.91,10.13,0.545,0.43
replication/llama_7b,342,0.75,4.83,7.79,0.143,0.49
replication/llama_7b,343,0.40,10.60,8.55,0.182,0.18
replication/llama_7b,344,0.10,6.16,7.17,0.143,0.05
replication/llama_7b,345,0.57,25.28,0.00,0.364,0.37
replication/llama_7b,346,0.33,8.18,7.40,0.2,0.12
replication/llama_7b,347,0.20,11.64,8.75,0,0.10
replication/llama_7b,348,0.00,0.00,0.00,0,0.00
replication/llama_7b,349,0.00,0.00,0.00,0,0.00
replication/llama_7b,350,0.25,13.89,8.02,0,0.11
replication/llama_7b,351,0.50,15.35,11.26,0.333,0.40
replication/llama_7b,352,0.00,0.00,0.00,0,0.00
replication/llama_7b,353,0.33,12.19,7.84,0.222,0.14
replication/llama_7b,354,0.25,8.91,7.48,0.182,0.10
replication/llama_7b,355,0.14,7.56,7.33,0,0.06
replication/llama_7b,356,0.00,0.00,0.00,0,0.14
replication/llama_7b,357,0.00,0.00,0.00,0,0.00
replication/llama_7b,358,0.00,0.00,0.00,0,0.00
replication/llama_7b,359,0.09,9.95,5.51,0,0.05
replication/llama_7b,360,0.25,6.57,7.22,0,0.10
replication/llama_7b,361,2.12,40.72,47.67,0.609,0.74
replication/llama_7b,362,0.09,7.56,7.33,0.143,0.04
replication/llama_7b,363,0.25,5.80,7.13,0,0.09
replication/llama_7b,364,0.12,10.86,7.70,0.154,0.06
replication/llama_7b,365,0.60,11.73,8.55,0.4,0.26
replication/llama_7b,366,1.00,21.74,14.15,0.5,0.58
replication/llama_7b,367,0.11,5.70,3.65,0.154,0.08
replication/llama_7b,368,0.12,5.20,7.06,0,0.11
replication/llama_7b,369,0.50,22.84,13.48,0.222,0.31
replication/llama_7b,370,0.20,12.42,4.25,0.2,0.11
replication/llama_7b,371,0.35,8.73,8.57,0.19,0.26
replication/llama_7b,372,,,,,
replication/llama_7b,373,0.00,0.00,0.00,0,0.00
replication/llama_7b,374,0.00,0.00,0.00,0,0.00
replication/llama_7b,375,0.10,5.49,7.09,0.1,0.05
replication/llama_7b,376,0.17,6.16,7.17,0,0.07
replication/llama_7b,377,0.29,10.81,9.05,0.267,0.18
replication/llama_7b,378,0.00,0.00,0.00,0,0.00
replication/llama_7b,379,0.17,16.15,8.25,0,0.16
replication/llama_7b,380,0.11,12.58,6.20,0,0.17
replication/llama_7b,381,0.25,10.86,7.70,0.2,0.11
replication/llama_7b,382,0.00,0.00,Error: The number of reference sentences must match the number of generated sentences.,0,0.09
replication/llama_7b,383,0.07,6.16,2.25,0,0.04
replication/llama_7b,384,0.20,10.86,7.70,0.182,0.09
replication/llama_7b,385,0.00,0.00,0.00,0,0.00
replication/llama_7b,386,0.15,9.71,5.94,0.133,0.08
replication/llama_7b,387,0.67,25.41,15.98,0.364,0.34
replication/llama_7b,388,0.19,8.90,6.18,0.235,0.12
replication/llama_7b,389,0.06,4.30,6.95,0,0.06
replication/llama_7b,390,0.22,4.86,2.09,0.222,0.06
replication/llama_7b,391,0.67,12.91,8.98,0.4,0.27
replication/llama_7b,392,0.29,10.60,8.55,0.308,0.13
replication/llama_7b,393,1.29,22.91,20.53,0.444,0.60
replication/llama_7b,394,0.12,9.79,7.58,0.167,0.06
replication/llama_7b,395,0.17,12.19,7.84,0.2,0.08
replication/llama_7b,396,0.00,0.00,0.00,0,0.00
replication/llama_7b,397,0.00,0.00,0.00,0,0.08
replication/llama_7b,398,0.33,8.91,7.48,0.2,0.13
replication/llama_7b,399,0.00,0.00,0.00,0,0.00
replication/llama_7b,400,0.00,6.90,0.00,0.286,0.08
replication/llama_7b,401,0.00,0.00,0.00,0,0.00
replication/llama_7b,402,0.00,0.00,0.00,0,0.00
replication/llama_7b,403,0.00,0.00,0.00,0,0.00
replication/llama_7b,404,0.12,7.56,7.33,0,0.06
replication/llama_7b,405,0.00,0.00,0.00,0,0.00
replication/llama_7b,406,0.08,8.25,0.00,0.125,0.04
replication/llama_7b,407,0.10,2.35,0.57,0.182,0.05
replication/llama_7b,408,0.00,0.00,0.00,0,0.00
replication/llama_7b,409,0.00,0.00,0.00,0,0.00
replication/llama_7b,410,0.00,0.00,0.00,0,0.06
replication/llama_7b,411,0.09,9.98,6.28,0.167,0.05
replication/llama_7b,412,0.00,0.00,0.00,0,0.00
replication/llama_7b,413,0.20,8.91,7.48,0,0.09
replication/llama_7b,414,0.00,0.00,0.00,0,0.00
replication/llama_7b,415,0.00,0.00,0.00,0,0.07
replication/llama_7b,416,,,,,
replication/llama_7b,417,0.33,15.35,11.26,0.182,0.28
replication/llama_7b,418,0.16,7.11,5.22,0.25,0.10
replication/llama_7b,419,1.00,,,,
replication/llama_7b,420,0.33,16.04,10.69,0.167,0.17
replication/llama_7b,421,0.12,5.20,7.06,0,0.05
replication/llama_7b,422,0.12,10.86,7.70,0.182,0.06
replication/llama_7b,423,0.33,6.57,0.00,0.182,0.12
replication/llama_7b,424,1.80,28.41,33.68,0.444,0.55
replication/llama_7b,425,0.14,6.57,7.22,0,0.06
replication/llama_7b,426,0.17,13.89,8.02,0,0.08
replication/llama_7b,427,1.29,15.28,17.43,0.182,0.46
replication/llama_7b,428,0.00,0.00,0.00,0,0.00
replication/llama_7b,429,0.00,0.00,0.00,0,0.00
replication/llama_7b,430,0.00,0.00,0.00,0,0.06
replication/llama_7b,431,0.00,0.00,0.00,0,0.00
replication/llama_7b,432,0.20,9.79,7.84,0.154,0.19
replication/llama_7b,433,0.17,9.79,7.58,0.154,0.29
replication/llama_7b,434,0.62,23.36,15.76,0.6,0.39
replication/llama_7b,435,0.00,0.00,0.00,0,0.00
replication/llama_7b,436,0.00,0.00,0.00,0,0.00
replication/llama_7b,437,0.17,16.15,8.25,0.222,0.08
replication/llama_7b,438,0.25,16.95,8.74,0,0.13
replication/llama_7b,439,0.00,0.00,0.00,0,0.08
replication/llama_7b,440,0.14,7.56,7.33,0,0.13
replication/llama_7b,441,0.11,9.79,7.58,0,0.05
replication/llama_7b,442,0.00,0.00,0.00,0,0.00
replication/llama_7b,443,0.17,12.19,7.84,0,0.08
replication/llama_7b,444,1.17,24.03,19.36,0.6,0.59
replication/llama_7b,445,0.10,11.12,6.25,0.143,0.05
replication/llama_7b,446,0.13,3.45,1.72,0.1,0.07
replication/llama_7b,447,0.17,16.15,8.25,0,0.08
replication/llama_7b,448,0.33,7.03,7.27,0.154,0.12
replication/llama_7b,449,0.50,22.70,12.12,0.667,0.33
replication/llama_7b,450,0.00,,,,
replication/llama_7b,451,0.20,3.96,6.91,0,0.21
replication/llama_7b,452,0.80,12.81,10.10,0.222,0.44
replication/llama_7b,453,0.23,10.91,8.27,0.118,0.12
replication/llama_7b,454,0.86,13.53,14.27,0.167,0.37
replication/llama_7b,455,0.38,20.16,7.15,0.4,0.32
replication/llama_7b,456,2.15,54.56,22.73,0.632,0.61
replication/llama_7b,457,0.40,8.99,8.25,0.333,0.17
replication/llama_7b,458,0.00,0.00,0.00,0,0.07
replication/llama_7b,459,0.18,11.83,6.61,0,0.09
replication/llama_7b,460,0.00,0.00,0.00,0,0.11
replication/llama_7b,461,0.00,0.00,0.00,0,0.00
replication/llama_7b,462,0.14,8.91,7.48,0.167,0.07
replication/llama_7b,463,0.22,12.91,8.98,0.154,0.16
replication/llama_7b,464,0.25,16.95,8.74,0,0.13
replication/llama_7b,465,,,,,
replication/llama_7b,466,0.25,6.52,7.77,0,0.22
replication/llama_7b,467,0.38,13.88,11.56,0.4,0.24
replication/llama_7b,468,0.43,5.22,7.40,0.222,0.17
replication/llama_7b,469,0.00,0.00,0.00,0,0.05
replication/llama_7b,470,0.00,0.00,0.00,0,0.05
replication/llama_7b,471,0.29,19.21,10.08,0.222,0.14
