Foldername,BERTScore Precision,BERTScore Recall,BERTScore F1
replication/llama_7b,0.84,0.84,0.84
replication/llama_7b,0.86,0.87,0.87
replication/llama_7b,0.85,0.86,0.85
replication/llama_7b,0.89,0.95,0.92
replication/llama_7b,0.88,0.89,0.88
replication/llama_7b,0.82,0.85,0.83
replication/llama_7b,0.84,0.86,0.85
replication/llama_7b,0.85,0.9,0.88
replication/llama_7b,0.81,0.85,0.83
replication/llama_7b,0.84,0.89,0.86
replication/llama_7b,0.83,0.81,0.82
replication/llama_7b,0.89,0.88,0.88
replication/llama_7b,0.84,0.82,0.83
replication/llama_7b,0.82,0.88,0.85
replication/llama_7b,0.85,0.84,0.84
replication/llama_7b,0.81,0.83,0.82
replication/llama_7b,0.84,0.86,0.85
replication/llama_7b,0.81,0.86,0.83
replication/llama_7b,0.84,0.91,0.87
replication/llama_7b,0.87,0.86,0.86
replication/llama_7b,0.83,0.87,0.85
replication/llama_7b,0.88,0.93,0.9
replication/llama_7b,0.83,0.91,0.87
replication/llama_7b,0.87,0.89,0.88
replication/llama_7b,0.82,0.82,0.82
replication/llama_7b,0.84,0.88,0.86
replication/llama_7b,0.8,0.86,0.83
replication/llama_7b,0.83,0.89,0.86
replication/llama_7b,0.84,0.86,0.85
replication/llama_7b,0.87,0.84,0.86
replication/llama_7b,0.85,0.86,0.86
replication/llama_7b,0.9,0.88,0.89
replication/llama_7b,0.73,0.81,0.77
replication/llama_7b,0.78,0.84,0.81
replication/llama_7b,0.83,0.86,0.84
replication/llama_7b,0.8,0.86,0.83
replication/llama_7b,0.85,0.88,0.87
replication/llama_7b,0.84,0.89,0.87
replication/llama_7b,0.91,0.86,0.88
replication/llama_7b,0.85,0.87,0.86
replication/llama_7b,0.9,0.87,0.88
replication/llama_7b,0.82,0.9,0.86
replication/llama_7b,0.86,0.91,0.89
replication/llama_7b,0.89,0.88,0.89
replication/llama_7b,0.86,0.89,0.88
replication/llama_7b,0.87,0.9,0.89
replication/llama_7b,0.84,0.92,0.88
replication/llama_7b,0.82,0.84,0.83
replication/llama_7b,0.9,0.9,0.9
replication/llama_7b,0.85,0.84,0.85
replication/llama_7b,0.87,0.88,0.88
replication/llama_7b,0.77,0.84,0.81
replication/llama_7b,0.9,0.87,0.88
replication/llama_7b,0.86,0.87,0.87
replication/llama_7b,0.82,0.84,0.83
replication/llama_7b,0.9,0.9,0.9
replication/llama_7b,0.82,0.82,0.82
replication/llama_7b,0.88,0.92,0.9
replication/llama_7b,0.82,0.84,0.83
replication/llama_7b,0.8,0.81,0.8
replication/llama_7b,0.82,0.82,0.82
replication/llama_7b,0.87,0.88,0.87
replication/llama_7b,0.84,0.82,0.83
replication/llama_7b,0.88,0.87,0.88
replication/llama_7b,0.85,0.86,0.86
replication/llama_7b,0.78,0.82,0.8
replication/llama_7b,0.82,0.84,0.83
replication/llama_7b,0.78,0.82,0.8
replication/llama_7b,0.91,0.82,0.86
replication/llama_7b,0.79,0.83,0.81
replication/llama_7b,0.79,0.86,0.82
replication/llama_7b,0.87,0.89,0.88
replication/llama_7b,0.84,0.86,0.85
replication/llama_7b,0.87,0.89,0.88
replication/llama_7b,0.82,0.85,0.83
replication/llama_7b,0.78,0.85,0.81
replication/llama_7b,0.86,0.94,0.9
replication/llama_7b,0.9,0.92,0.91
replication/llama_7b,0.84,0.86,0.85
replication/llama_7b,0.79,0.86,0.83
replication/llama_7b,0.9,0.93,0.92
replication/llama_7b,0.86,0.88,0.87
replication/llama_7b,0.81,0.87,0.84
replication/llama_7b,0.9,0.92,0.91
replication/llama_7b,0.83,0.86,0.84
replication/llama_7b,0.82,0.85,0.83
replication/llama_7b,0.83,0.83,0.83
replication/llama_7b,0.82,0.83,0.83
replication/llama_7b,0.89,0.85,0.87
replication/llama_7b,0.88,0.89,0.88
replication/llama_7b,0.88,0.89,0.89
replication/llama_7b,0.82,0.87,0.84
replication/llama_7b,0.83,0.87,0.85
replication/llama_7b,0.84,0.84,0.84
replication/llama_7b,0.93,0.89,0.91
replication/llama_7b,0.85,0.86,0.85
replication/llama_7b,0.83,0.84,0.84
replication/llama_7b,0.79,0.82,0.8
replication/llama_7b,0.79,0.86,0.82
replication/llama_7b,0.84,0.87,0.86
replication/llama_7b,0.85,0.85,0.85
replication/llama_7b,0.78,0.81,0.8
replication/llama_7b,0.84,0.87,0.86
replication/llama_7b,0.92,0.91,0.92
replication/llama_7b,0.82,0.81,0.81
replication/llama_7b,0.85,0.87,0.86
replication/llama_7b,0.84,0.86,0.85
replication/llama_7b,0.74,0.85,0.79
replication/llama_7b,0.82,0.85,0.84
replication/llama_7b,0.81,0.83,0.82
replication/llama_7b,0.8,0.83,0.81
replication/llama_7b,0.89,0.89,0.89
replication/llama_7b,0.89,0.89,0.89
replication/llama_7b,0.86,0.88,0.87
replication/llama_7b,0.83,0.89,0.86
replication/llama_7b,0.86,0.84,0.85
replication/llama_7b,0.81,0.84,0.82
replication/llama_7b,0.9,0.93,0.92
replication/llama_7b,0.81,0.86,0.83
replication/llama_7b,0.84,0.88,0.86
replication/llama_7b,0.84,0.82,0.83
replication/llama_7b,0.82,0.88,0.85
replication/llama_7b,0.86,0.84,0.85
replication/llama_7b,0.83,0.89,0.86
replication/llama_7b,0.86,0.85,0.86
replication/llama_7b,0.85,0.89,0.87
replication/llama_7b,0.88,0.86,0.87
replication/llama_7b,0.87,0.85,0.86
replication/llama_7b,0.89,0.93,0.91
replication/llama_7b,0.81,0.87,0.84
replication/llama_7b,0.85,0.84,0.84
replication/llama_7b,0.89,0.92,0.91
replication/llama_7b,0.85,0.86,0.86
replication/llama_7b,0.84,0.82,0.83
replication/llama_7b,0.86,0.85,0.85
replication/llama_7b,0.84,0.88,0.86
replication/llama_7b,0.82,0.84,0.83
replication/llama_7b,0.89,0.93,0.91
replication/llama_7b,0.92,0.93,0.92
replication/llama_7b,0.82,0.82,0.82
replication/llama_7b,0.85,0.88,0.86
replication/llama_7b,0.87,0.89,0.88
replication/llama_7b,0.86,0.88,0.87
replication/llama_7b,0.85,0.84,0.84
replication/llama_7b,0.83,0.84,0.83
replication/llama_7b,0.87,0.87,0.87
replication/llama_7b,0.81,0.86,0.83
replication/llama_7b,0.83,0.85,0.84
replication/llama_7b,0.83,0.79,0.81
replication/llama_7b,0.88,0.87,0.87
replication/llama_7b,0.82,0.88,0.85
replication/llama_7b,0.85,0.83,0.84
replication/llama_7b,0.84,0.89,0.87
replication/llama_7b,0.85,0.87,0.86
replication/llama_7b,0.84,0.81,0.83
replication/llama_7b,0.9,0.9,0.9
replication/llama_7b,0.81,0.84,0.82
replication/llama_7b,0.85,0.86,0.85
replication/llama_7b,0.82,0.82,0.82
replication/llama_7b,0.86,0.89,0.88
replication/llama_7b,0.82,0.82,0.82
replication/llama_7b,0.8,0.86,0.83
replication/llama_7b,0.82,0.84,0.83
replication/llama_7b,0.76,0.84,0.8
replication/llama_7b,0.8,0.82,0.81
replication/llama_7b,0.78,0.86,0.82
replication/llama_7b,0.87,0.94,0.9
replication/llama_7b,0.81,0.88,0.84
replication/llama_7b,0.92,0.94,0.93
replication/llama_7b,0.87,0.83,0.85
replication/llama_7b,0.85,0.84,0.84
replication/llama_7b,0.85,0.86,0.86
replication/llama_7b,0.83,0.85,0.84
replication/llama_7b,0.9,0.93,0.91
replication/llama_7b,0.83,0.85,0.84
replication/llama_7b,0.78,0.86,0.82
replication/llama_7b,0.8,0.83,0.81
replication/llama_7b,0.82,0.84,0.83
replication/llama_7b,0.8,0.84,0.82
replication/llama_7b,0.84,0.86,0.85
replication/llama_7b,0.87,0.89,0.88
replication/llama_7b,0.87,0.88,0.87
replication/llama_7b,0.87,0.86,0.86
replication/llama_7b,0.82,0.85,0.83
replication/llama_7b,0.9,0.89,0.89
replication/llama_7b,0.91,0.9,0.91
replication/llama_7b,0.84,0.87,0.86
replication/llama_7b,0.87,0.86,0.86
replication/llama_7b,0.85,0.87,0.86
replication/llama_7b,0.83,0.82,0.83
replication/llama_7b,0.87,0.86,0.86
replication/llama_7b,0.77,0.82,0.79
replication/llama_7b,0.82,0.86,0.84
replication/llama_7b,0.87,0.86,0.87
replication/llama_7b,0.85,0.86,0.85
replication/llama_7b,0.8,0.86,0.83
replication/llama_7b,0.84,0.85,0.85
replication/llama_7b,0.83,0.79,0.81
replication/llama_7b,0.86,0.88,0.87
replication/llama_7b,0.83,0.86,0.84
replication/llama_7b,0.84,0.88,0.86
replication/llama_7b,0.88,0.87,0.87
replication/llama_7b,0.83,0.85,0.84
replication/llama_7b,0.94,0.94,0.94
replication/llama_7b,0.83,0.88,0.86
replication/llama_7b,0.78,0.83,0.8
replication/llama_7b,0.92,0.92,0.92
replication/llama_7b,0.89,0.86,0.88
replication/llama_7b,0.87,0.88,0.87
replication/llama_7b,0.84,0.84,0.84
replication/llama_7b,0.86,0.88,0.87
replication/llama_7b,0.86,0.89,0.87
replication/llama_7b,0.89,0.85,0.87
replication/llama_7b,0.87,0.88,0.87
replication/llama_7b,0.86,0.89,0.88
replication/llama_7b,0.84,0.87,0.86
replication/llama_7b,0.83,0.87,0.85
replication/llama_7b,0.85,0.93,0.89
replication/llama_7b,0.84,0.83,0.84
replication/llama_7b,0.87,0.86,0.87
replication/llama_7b,0.87,0.86,0.87
replication/llama_7b,0.81,0.89,0.84
replication/llama_7b,0.85,0.9,0.87
replication/llama_7b,0.82,0.85,0.83
replication/llama_7b,0.78,0.82,0.8
replication/llama_7b,0.83,0.89,0.86
replication/llama_7b,0.89,0.85,0.87
replication/llama_7b,0.85,0.83,0.84
replication/llama_7b,0.78,0.84,0.81
replication/llama_7b,0.83,0.85,0.84
replication/llama_7b,0.83,0.87,0.85
replication/llama_7b,0.81,0.84,0.83
replication/llama_7b,0.9,0.89,0.89
replication/llama_7b,0.84,0.85,0.85
replication/llama_7b,0.79,0.83,0.81
replication/llama_7b,0.86,0.87,0.87
replication/llama_7b,0.86,0.92,0.89
replication/llama_7b,0.8,0.84,0.82
replication/llama_7b,0.82,0.88,0.85
replication/llama_7b,0.85,0.87,0.86
replication/llama_7b,0.8,0.84,0.82
replication/llama_7b,0.82,0.85,0.83
replication/llama_7b,0.85,0.82,0.83
replication/llama_7b,0.81,0.84,0.83
replication/llama_7b,0.87,0.85,0.86
replication/llama_7b,0.87,0.89,0.88
replication/llama_7b,0.78,0.92,0.84
replication/llama_7b,0.85,0.9,0.87
replication/llama_7b,0.83,0.88,0.85
replication/llama_7b,0.89,0.89,0.89
replication/llama_7b,0.84,0.89,0.86
replication/llama_7b,0.8,0.86,0.83
replication/llama_7b,0.78,0.84,0.81
replication/llama_7b,0.83,0.84,0.84
replication/llama_7b,0.85,0.88,0.87
replication/llama_7b,0.87,0.91,0.89
replication/llama_7b,0.84,0.89,0.86
replication/llama_7b,0.85,0.91,0.88
replication/llama_7b,0.81,0.87,0.84
replication/llama_7b,0.83,0.85,0.84
replication/llama_7b,0.81,0.85,0.83
replication/llama_7b,0.82,0.83,0.83
replication/llama_7b,0.84,0.87,0.85
replication/llama_7b,0.88,0.85,0.86
replication/llama_7b,0.81,0.87,0.83
replication/llama_7b,0.93,0.95,0.94
replication/llama_7b,0.83,0.82,0.83
replication/llama_7b,0.78,0.83,0.81
replication/llama_7b,0.87,0.87,0.87
replication/llama_7b,0.85,0.92,0.89
replication/llama_7b,0.82,0.87,0.84
replication/llama_7b,0.87,0.83,0.85
replication/llama_7b,0.83,0.86,0.85
replication/llama_7b,0.9,0.9,0.9
replication/llama_7b,0.94,0.89,0.92
replication/llama_7b,0.89,0.87,0.88
replication/llama_7b,0.77,0.85,0.81
replication/llama_7b,0.81,0.84,0.82
replication/llama_7b,0.81,0.83,0.82
replication/llama_7b,0.8,0.85,0.82
replication/llama_7b,0.84,0.87,0.86
replication/llama_7b,0.87,0.86,0.86
replication/llama_7b,0.81,0.84,0.83
replication/llama_7b,0.9,0.9,0.9
replication/llama_7b,0.83,0.86,0.84
replication/llama_7b,0.88,0.93,0.9
replication/llama_7b,0.79,0.82,0.8
replication/llama_7b,0.84,0.83,0.83
replication/llama_7b,0.87,0.9,0.89
replication/llama_7b,0.77,0.85,0.81
replication/llama_7b,0.86,0.85,0.86
replication/llama_7b,0.95,0.95,0.95
replication/llama_7b,0.87,0.85,0.86
replication/llama_7b,0.78,0.85,0.81
replication/llama_7b,0.88,0.84,0.86
replication/llama_7b,0.81,0.89,0.85
replication/llama_7b,0.88,0.92,0.9
replication/llama_7b,0.88,0.92,0.9
replication/llama_7b,0.87,0.89,0.88
replication/llama_7b,0.88,0.89,0.89
replication/llama_7b,0.87,0.83,0.85
replication/llama_7b,0.82,0.82,0.82
replication/llama_7b,0.85,0.9,0.88
replication/llama_7b,0.81,0.81,0.81
replication/llama_7b,0.8,0.83,0.82
replication/llama_7b,0.85,0.88,0.86
replication/llama_7b,0.84,0.84,0.84
replication/llama_7b,0.85,0.87,0.86
replication/llama_7b,0.84,0.87,0.85
replication/llama_7b,0.85,0.87,0.86
replication/llama_7b,0.84,0.84,0.84
replication/llama_7b,0.88,0.83,0.85
replication/llama_7b,0.81,0.87,0.84
replication/llama_7b,0.83,0.83,0.83
replication/llama_7b,0.86,0.87,0.87
replication/llama_7b,0.88,0.88,0.88
replication/llama_7b,0.85,0.83,0.84
replication/llama_7b,0.78,0.87,0.82
replication/llama_7b,0.84,0.87,0.85
replication/llama_7b,0.85,0.83,0.84
replication/llama_7b,0.77,0.84,0.8
replication/llama_7b,0.83,0.82,0.83
replication/llama_7b,0.85,0.86,0.86
replication/llama_7b,0.82,0.89,0.86
replication/llama_7b,0.89,0.88,0.88
replication/llama_7b,0.85,0.88,0.86
replication/llama_7b,0.86,0.89,0.88
replication/llama_7b,0.79,0.84,0.81
replication/llama_7b,0.88,0.92,0.9
replication/llama_7b,0.76,0.82,0.79
replication/llama_7b,0.85,0.89,0.87
replication/llama_7b,0.88,0.92,0.9
replication/llama_7b,0.81,0.83,0.82
replication/llama_7b,0.86,0.89,0.87
replication/llama_7b,0.85,0.82,0.83
replication/llama_7b,0.81,0.87,0.84
replication/llama_7b,0.86,0.91,0.88
replication/llama_7b,0.88,0.91,0.89
replication/llama_7b,0.94,0.94,0.94
replication/llama_7b,0.83,0.82,0.83
replication/llama_7b,0.83,0.89,0.86
replication/llama_7b,0.87,0.85,0.86
replication/llama_7b,0.86,0.86,0.86
replication/llama_7b,0.86,0.86,0.86
replication/llama_7b,0.85,0.89,0.87
replication/llama_7b,0.85,0.84,0.84
replication/llama_7b,0.83,0.84,0.83
replication/llama_7b,0.84,0.85,0.85
replication/llama_7b,0.84,0.91,0.87
replication/llama_7b,0.87,0.86,0.87
replication/llama_7b,0.87,0.82,0.84
replication/llama_7b,0.84,0.9,0.87
replication/llama_7b,0.85,0.93,0.89
replication/llama_7b,0.88,0.89,0.88
replication/llama_7b,0.8,0.81,0.81
replication/llama_7b,0.84,0.88,0.86
replication/llama_7b,0.85,0.89,0.87
replication/llama_7b,0.87,0.85,0.86
replication/llama_7b,0.81,0.83,0.82
replication/llama_7b,0.86,0.86,0.86
replication/llama_7b,0.93,0.95,0.94
replication/llama_7b,0.86,0.89,0.88
replication/llama_7b,0.8,0.83,0.81
replication/llama_7b,0.83,0.82,0.83
replication/llama_7b,0.84,0.85,0.85
replication/llama_7b,0.88,0.91,0.9
replication/llama_7b,0.87,0.87,0.87
replication/llama_7b,0.84,0.87,0.85
replication/llama_7b,0.88,0.88,0.88
replication/llama_7b,0.81,0.86,0.83
replication/llama_7b,0.81,0.86,0.84
replication/llama_7b,0.9,0.89,0.89
replication/llama_7b,0.77,0.84,0.8
replication/llama_7b,0.85,0.83,0.84
replication/llama_7b,0.83,0.83,0.83
replication/llama_7b,0.88,0.88,0.88
replication/llama_7b,0.88,0.94,0.91
replication/llama_7b,0.85,0.85,0.85
replication/llama_7b,0.85,0.87,0.86
replication/llama_7b,0.84,0.86,0.85
replication/llama_7b,0.9,0.91,0.9
replication/llama_7b,0.87,0.88,0.87
replication/llama_7b,0.91,0.9,0.91
replication/llama_7b,0.87,0.9,0.89
replication/llama_7b,0.87,0.79,0.83
replication/llama_7b,0.86,0.9,0.88
replication/llama_7b,0.82,0.88,0.85
replication/llama_7b,0.87,0.92,0.89
replication/llama_7b,0.89,0.91,0.9
replication/llama_7b,0.8,0.86,0.83
replication/llama_7b,0.79,0.83,0.81
replication/llama_7b,0.86,0.86,0.86
replication/llama_7b,0.85,0.84,0.85
replication/llama_7b,0.77,0.83,0.8
replication/llama_7b,0.88,0.89,0.88
replication/llama_7b,0.82,0.78,0.8
replication/llama_7b,0.87,0.91,0.89
replication/llama_7b,0.82,0.86,0.84
replication/llama_7b,0.91,0.87,0.89
replication/llama_7b,0.8,0.85,0.82
replication/llama_7b,0.8,0.87,0.83
replication/llama_7b,0.82,0.88,0.85
replication/llama_7b,0.8,0.83,0.82
replication/llama_7b,0.83,0.89,0.86
replication/llama_7b,0.83,0.86,0.84
replication/llama_7b,0.8,0.86,0.83
replication/llama_7b,0.81,0.86,0.84
replication/llama_7b,0.83,0.89,0.86
replication/llama_7b,0.85,0.89,0.87
replication/llama_7b,0.87,0.86,0.87
replication/llama_7b,0.8,0.86,0.83
replication/llama_7b,0.86,0.83,0.85
replication/llama_7b,0.9,0.89,0.89
replication/llama_7b,0.9,0.92,0.91
replication/llama_7b,0.83,0.85,0.84
replication/llama_7b,0.82,0.85,0.83
replication/llama_7b,0.83,0.85,0.84
replication/llama_7b,0.87,0.9,0.89
replication/llama_7b,0.81,0.85,0.83
replication/llama_7b,0.81,0.85,0.83
replication/llama_7b,0.84,0.82,0.83
replication/llama_7b,0.83,0.86,0.84
replication/llama_7b,0.81,0.84,0.83
replication/llama_7b,0.87,0.88,0.87
replication/llama_7b,0.85,0.83,0.84
replication/llama_7b,0.87,0.9,0.88
replication/llama_7b,0.88,0.9,0.89
replication/llama_7b,0.82,0.86,0.84
replication/llama_7b,0.84,0.83,0.83
replication/llama_7b,0.87,0.88,0.88
replication/llama_7b,0.85,0.85,0.85
replication/llama_7b,0.89,0.9,0.89
replication/llama_7b,0.84,0.88,0.86
replication/llama_7b,0.82,0.82,0.82
replication/llama_7b,0.87,0.9,0.89
replication/llama_7b,0.86,0.86,0.86
replication/llama_7b,0.87,0.85,0.86
replication/llama_7b,0.8,0.84,0.82
replication/llama_7b,0.83,0.86,0.85
replication/llama_7b,0.81,0.87,0.84
replication/llama_7b,0.86,0.9,0.88
replication/llama_7b,0.87,0.87,0.87
replication/llama_7b,0.82,0.83,0.83
replication/llama_7b,0.88,0.91,0.9
replication/llama_7b,0.88,0.9,0.89
replication/llama_7b,0.91,0.9,0.91
replication/llama_7b,0.88,0.92,0.9
replication/llama_7b,0.81,0.86,0.83
replication/llama_7b,0.9,0.9,0.9
replication/llama_7b,0.82,0.84,0.83
replication/llama_7b,0.88,0.87,0.88
replication/llama_7b,0.85,0.83,0.84
replication/llama_7b,0.87,0.87,0.87
replication/llama_7b,0.8,0.84,0.82
replication/llama_7b,0.87,0.9,0.89
replication/llama_7b,0.84,0.92,0.87
replication/llama_7b,0.89,0.9,0.89
replication/llama_7b,0.86,0.87,0.87
replication/llama_7b,0.82,0.88,0.85
replication/llama_7b,0.78,0.85,0.82
replication/llama_7b,0.86,0.83,0.85
replication/llama_7b,0.79,0.83,0.81
replication/llama_7b,0.87,0.88,0.87
replication/llama_7b,0.85,0.82,0.83
replication/llama_7b,0.8,0.82,0.81
replication/llama_7b,0.85,0.84,0.85
replication/llama_7b,0.91,0.9,0.91
replication/llama_7b,0.85,0.88,0.86
replication/llama_7b,0.8,0.86,0.83
replication/llama_7b,0.84,0.86,0.85
replication/llama_7b,0.83,0.8,0.81
replication/llama_7b,0.86,0.84,0.85
replication/llama_7b,0.74,0.82,0.78
replication/llama_7b,0.87,0.85,0.86
replication/llama_7b,0.85,0.82,0.83
replication/llama_7b,0.87,0.87,0.87
replication/llama_7b,0.8,0.84,0.82
replication/llama_7b,0.85,0.85,0.85
replication/llama_7b,0.81,0.82,0.82
replication/llama_7b,0.83,0.89,0.86
replication/llama_7b,0.77,0.83,0.8
replication/llama_7b,0.84,0.9,0.87
replication/llama_7b,0.85,0.86,0.86
replication/llama_7b,0.89,0.89,0.89
replication/llama_7b,0.88,0.84,0.86
replication/llama_7b,0.86,0.87,0.86
replication/llama_7b,0.81,0.8,0.8
replication/llama_7b,0.81,0.84,0.82
replication/llama_7b,0.84,0.84,0.84
replication/llama_7b,0.8,0.85,0.83
replication/llama_7b,0.87,0.95,0.91
replication/llama_7b,0.86,0.85,0.86
replication/llama_7b,0.88,0.88,0.88
replication/llama_7b,0.83,0.83,0.83
replication/llama_7b,0.8,0.88,0.84
replication/llama_7b,0.78,0.82,0.8
replication/llama_7b,0.79,0.8,0.79
replication/llama_7b,0.84,0.85,0.84
replication/llama_7b,0.86,0.84,0.85
replication/llama_7b,0.83,0.83,0.83
replication/llama_7b,0.79,0.94,0.86
replication/llama_7b,0.83,0.86,0.85
replication/llama_7b,0.78,0.86,0.82
replication/llama_7b,0.9,0.87,0.89
replication/llama_7b,0.8,0.87,0.84
replication/llama_7b,0.76,0.85,0.81
replication/llama_7b,0.82,0.86,0.84
replication/llama_7b,0.8,0.86,0.83
replication/llama_7b,0.83,0.84,0.84
replication/llama_7b,0.81,0.85,0.83
replication/llama_7b,0.82,0.87,0.84
replication/llama_7b,0.82,0.85,0.84
replication/llama_7b,0.8,0.84,0.82
replication/llama_7b,0.86,0.87,0.86
replication/llama_7b,0.82,0.86,0.84
replication/llama_7b,0.86,0.85,0.86
replication/llama_7b,0.88,0.85,0.87
replication/llama_7b,0.79,0.86,0.82
replication/llama_7b,0.91,0.91,0.91
replication/llama_7b,0.83,0.86,0.84
replication/llama_7b,0.82,0.85,0.84
replication/llama_7b,0.84,0.82,0.83
replication/llama_7b,0.86,0.79,0.83
replication/llama_7b,0.8,0.87,0.83
replication/llama_7b,0.9,0.87,0.88
replication/llama_7b,0.82,0.84,0.83
replication/llama_7b,0.84,0.88,0.86
replication/llama_7b,0.82,0.81,0.82
replication/llama_7b,0.88,0.88,0.88
replication/llama_7b,0.82,0.89,0.85
replication/llama_7b,0.88,0.86,0.87
replication/llama_7b,0.83,0.85,0.84
replication/llama_7b,0.9,0.89,0.89
replication/llama_7b,0.86,0.87,0.87
replication/llama_7b,0.86,0.87,0.86
replication/llama_7b,0.83,0.87,0.85
replication/llama_7b,0.8,0.85,0.83
replication/llama_7b,0.87,0.89,0.88
replication/llama_7b,0.87,0.86,0.87
replication/llama_7b,0.84,0.86,0.85
replication/llama_7b,0.81,0.85,0.83
replication/llama_7b,0.92,0.85,0.88
replication/llama_7b,0.82,0.88,0.85
replication/llama_7b,0.87,0.8,0.83
replication/llama_7b,0.84,0.88,0.86
replication/llama_7b,0.91,0.89,0.9
replication/llama_7b,0.84,0.89,0.86
replication/llama_7b,0.83,0.88,0.85
replication/llama_7b,0.92,0.91,0.91
replication/llama_7b,0.88,0.87,0.87
replication/llama_7b,0.88,0.9,0.89
replication/llama_7b,0.86,0.89,0.87
replication/llama_7b,0.82,0.88,0.85
replication/llama_7b,0.77,0.82,0.79
replication/llama_7b,0.85,0.85,0.85
replication/llama_7b,0.88,0.87,0.88
replication/llama_7b,0.84,0.89,0.86
replication/llama_7b,0.81,0.85,0.83
replication/llama_7b,0.83,0.83,0.83
replication/llama_7b,0.81,0.85,0.83
replication/llama_7b,0.88,0.9,0.89
replication/llama_7b,0.82,0.82,0.82
replication/llama_7b,0.88,0.9,0.89
replication/llama_7b,0.82,0.85,0.83
replication/llama_7b,0.79,0.85,0.82
replication/llama_7b,0.92,0.95,0.93
replication/llama_7b,0.87,0.89,0.88
replication/llama_7b,0.85,0.85,0.85
