Foldername,Line Number,B-Moses,B-Norm,B-NLTK,Rouge-L,METEOR
processed_msg/formatted/paper_llama2_7b,106,0.11,,,,
processed_msg/formatted/paper_llama2_7b,107,0.50,18.28,11.23,0.571,0.24
processed_msg/formatted/paper_llama2_7b,108,0.33,10.60,8.55,0,0.15
processed_msg/formatted/paper_llama2_7b,109,0.33,9.79,7.58,0.2,0.13
processed_msg/formatted/paper_llama2_7b,110,0.17,10.86,7.70,0.182,0.16
processed_msg/formatted/paper_llama2_7b,111,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,112,0.27,11.73,7.48,0.143,0.18
processed_msg/formatted/paper_llama2_7b,113,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,114,0.00,0.00,0.00,0,0.13
processed_msg/formatted/paper_llama2_7b,115,0.15,9.73,8.39,0.167,0.08
processed_msg/formatted/paper_llama2_7b,116,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,117,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,118,0.25,9.79,7.58,0.222,0.11
processed_msg/formatted/paper_llama2_7b,119,0.25,16.15,8.25,0.222,0.12
processed_msg/formatted/paper_llama2_7b,120,0.12,6.08,2.60,0.133,0.06
processed_msg/formatted/paper_llama2_7b,121,0.57,8.58,9.59,0.267,0.18
processed_msg/formatted/paper_llama2_7b,122,0.11,5.20,7.06,0.118,0.05
processed_msg/formatted/paper_llama2_7b,123,0.33,8.91,7.48,0.222,0.26
processed_msg/formatted/paper_llama2_7b,124,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,125,0.13,7.95,4.76,0.133,0.18
processed_msg/formatted/paper_llama2_7b,126,0.40,15.35,8.98,0.182,0.20
processed_msg/formatted/paper_llama2_7b,127,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,128,0.25,4.13,6.93,0,0.08
processed_msg/formatted/paper_llama2_7b,129,0.20,24.03,0.00,0.333,0.10
processed_msg/formatted/paper_llama2_7b,130,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,131,0.25,5.20,7.06,0,0.09
processed_msg/formatted/paper_llama2_7b,132,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,133,0.20,12.19,7.84,0.2,0.28
processed_msg/formatted/paper_llama2_7b,134,0.75,11.86,12.21,0.444,0.33
processed_msg/formatted/paper_llama2_7b,135,0.43,9.95,9.16,0.143,0.19
processed_msg/formatted/paper_llama2_7b,136,0.17,20.34,7.35,0.25,0.08
processed_msg/formatted/paper_llama2_7b,137,0.33,8.18,7.40,0.182,0.12
processed_msg/formatted/paper_llama2_7b,138,0.33,10.60,7.48,0.154,0.23
processed_msg/formatted/paper_llama2_7b,139,0.27,10.03,8.89,0.125,0.17
processed_msg/formatted/paper_llama2_7b,140,1.12,20.58,19.84,0.615,0.57
processed_msg/formatted/paper_llama2_7b,141,0.57,13.95,10.42,0.429,0.34
processed_msg/formatted/paper_llama2_7b,142,0.25,13.89,8.02,0,0.11
processed_msg/formatted/paper_llama2_7b,143,0.17,4.71,7.00,0,0.07
processed_msg/formatted/paper_llama2_7b,144,0.25,10.86,7.70,0.182,0.11
processed_msg/formatted/paper_llama2_7b,145,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,146,0.45,6.45,9.38,0.095,0.19
processed_msg/formatted/paper_llama2_7b,147,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,148,0.11,12.58,6.20,0,0.06
processed_msg/formatted/paper_llama2_7b,149,0.20,16.15,8.25,0,0.10
processed_msg/formatted/paper_llama2_7b,150,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,151,0.57,19.07,13.25,0.4,0.35
processed_msg/formatted/paper_llama2_7b,152,0.10,6.16,7.17,0,0.05
processed_msg/formatted/paper_llama2_7b,153,0.50,12.88,9.91,0.167,0.46
processed_msg/formatted/paper_llama2_7b,154,0.00,0.00,0.00,0,0.14
processed_msg/formatted/paper_llama2_7b,155,0.20,10.86,7.70,0,0.09
processed_msg/formatted/paper_llama2_7b,156,0.00,0.00,0.00,0,0.09
processed_msg/formatted/paper_llama2_7b,157,0.31,8.07,4.13,0.267,0.13
processed_msg/formatted/paper_llama2_7b,158,0.00,0.00,0.00,0,0.10
processed_msg/formatted/paper_llama2_7b,159,0.14,,,,
processed_msg/formatted/paper_llama2_7b,160,0.16,6.34,3.89,0.267,0.10
processed_msg/formatted/paper_llama2_7b,161,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,162,0.29,7.81,8.02,0.154,0.13
processed_msg/formatted/paper_llama2_7b,163,0.00,0.00,0.00,0,0.12
processed_msg/formatted/paper_llama2_7b,164,0.31,12.47,7.57,0.364,0.25
processed_msg/formatted/paper_llama2_7b,165,0.00,0.00,0.00,0,0.08
processed_msg/formatted/paper_llama2_7b,166,0.33,16.15,0.00,0.222,0.15
processed_msg/formatted/paper_llama2_7b,167,0.14,12.19,7.84,0.2,0.14
processed_msg/formatted/paper_llama2_7b,168,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,169,0.12,10.86,7.70,0.143,0.31
processed_msg/formatted/paper_llama2_7b,170,0.10,8.18,7.40,0.143,0.18
processed_msg/formatted/paper_llama2_7b,171,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,172,0.33,8.18,7.40,0.182,0.12
processed_msg/formatted/paper_llama2_7b,173,1.00,21.67,11.97,0.462,0.51
processed_msg/formatted/paper_llama2_7b,174,0.00,0.00,0.00,0,0.06
processed_msg/formatted/paper_llama2_7b,175,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,176,0.80,21.74,14.15,0.6,0.48
processed_msg/formatted/paper_llama2_7b,177,0.50,19.21,10.08,0.222,0.23
processed_msg/formatted/paper_llama2_7b,178,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,179,0.50,28.57,8.98,0.25,0.24
processed_msg/formatted/paper_llama2_7b,180,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,181,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,182,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,183,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,184,0.14,13.89,8.02,0,0.07
processed_msg/formatted/paper_llama2_7b,185,0.20,12.19,7.84,0.182,0.09
processed_msg/formatted/paper_llama2_7b,186,0.67,20.49,14.68,0.308,0.22
processed_msg/formatted/paper_llama2_7b,187,0.11,7.56,0.00,0.143,0.11
processed_msg/formatted/paper_llama2_7b,188,0.25,16.15,8.25,0,0.23
processed_msg/formatted/paper_llama2_7b,189,0.10,10.86,7.70,0,0.05
processed_msg/formatted/paper_llama2_7b,190,0.17,20.34,7.35,0.25,0.08
processed_msg/formatted/paper_llama2_7b,191,0.20,10.86,7.70,0.182,0.09
processed_msg/formatted/paper_llama2_7b,192,0.17,8.64,4.04,0.2,0.04
processed_msg/formatted/paper_llama2_7b,193,0.00,0.00,0.00,0,0.12
processed_msg/formatted/paper_llama2_7b,194,0.10,4.30,6.95,0,0.04
processed_msg/formatted/paper_llama2_7b,195,0.17,9.79,7.58,0,0.08
processed_msg/formatted/paper_llama2_7b,196,0.10,5.20,3.30,0.118,0.08
processed_msg/formatted/paper_llama2_7b,197,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,198,0.20,9.79,7.58,0,0.09
processed_msg/formatted/paper_llama2_7b,199,0.57,25.28,15.32,0.545,0.37
processed_msg/formatted/paper_llama2_7b,200,0.11,8.91,0.00,0.125,0.05
processed_msg/formatted/paper_llama2_7b,201,0.29,16.52,9.62,0,0.14
processed_msg/formatted/paper_llama2_7b,202,0.08,8.25,6.89,0.111,0.04
processed_msg/formatted/paper_llama2_7b,203,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,204,0.20,9.79,7.58,0.167,0.09
processed_msg/formatted/paper_llama2_7b,205,0.17,10.86,7.70,0,0.08
processed_msg/formatted/paper_llama2_7b,206,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,207,0.10,9.79,0.00,0.154,0.05
processed_msg/formatted/paper_llama2_7b,208,0.33,17.79,10.13,0.2,0.29
processed_msg/formatted/paper_llama2_7b,209,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,210,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,211,0.25,11.64,8.75,0.154,0.12
processed_msg/formatted/paper_llama2_7b,212,0.17,9.79,7.58,0.167,0.08
processed_msg/formatted/paper_llama2_7b,213,0.33,11.64,7.58,0.364,0.23
processed_msg/formatted/paper_llama2_7b,214,0.25,6.16,7.17,0.154,0.09
processed_msg/formatted/paper_llama2_7b,215,0.12,7.56,7.33,0.118,0.06
processed_msg/formatted/paper_llama2_7b,216,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,217,0.40,9.73,8.39,0.308,0.44
processed_msg/formatted/paper_llama2_7b,218,0.43,14.29,7.70,0.444,0.21
processed_msg/formatted/paper_llama2_7b,219,1.57,18.15,20.54,0.353,0.30
processed_msg/formatted/paper_llama2_7b,220,0.14,8.91,7.48,0.154,0.13
processed_msg/formatted/paper_llama2_7b,221,0.50,5.60,8.39,0.235,0.17
processed_msg/formatted/paper_llama2_7b,222,0.09,9.45,0.00,0.167,0.14
processed_msg/formatted/paper_llama2_7b,223,0.36,12.81,7.77,0.133,0.23
processed_msg/formatted/paper_llama2_7b,224,0.75,13.45,12.58,0.308,0.59
processed_msg/formatted/paper_llama2_7b,225,0.20,6.16,7.17,0.133,0.08
processed_msg/formatted/paper_llama2_7b,226,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,227,0.62,12.24,11.35,0.333,0.35
processed_msg/formatted/paper_llama2_7b,228,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,229,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,230,0.13,8.42,6.66,0,0.07
processed_msg/formatted/paper_llama2_7b,231,0.17,7.03,7.27,0.143,0.07
processed_msg/formatted/paper_llama2_7b,232,0.14,12.19,7.84,0,0.07
processed_msg/formatted/paper_llama2_7b,233,1.50,25.10,11.82,0.6,0.65
processed_msg/formatted/paper_llama2_7b,234,0.25,14.49,9.27,0.167,0.12
processed_msg/formatted/paper_llama2_7b,235,0.00,0.00,0.00,0,0.14
processed_msg/formatted/paper_llama2_7b,236,0.14,10.86,7.70,0,0.07
processed_msg/formatted/paper_llama2_7b,237,0.20,16.15,8.25,0,0.49
processed_msg/formatted/paper_llama2_7b,238,0.33,24.03,8.98,0.286,0.16
processed_msg/formatted/paper_llama2_7b,239,0.33,11.64,8.75,0.333,0.15
processed_msg/formatted/paper_llama2_7b,240,0.07,5.36,1.48,0,0.04
processed_msg/formatted/paper_llama2_7b,241,0.22,14.78,8.49,0.167,0.11
processed_msg/formatted/paper_llama2_7b,242,0.25,3.81,6.89,0,0.08
processed_msg/formatted/paper_llama2_7b,243,0.17,,,,
processed_msg/formatted/paper_llama2_7b,244,0.00,0.00,0.00,0,0.05
processed_msg/formatted/paper_llama2_7b,245,0.33,14.29,10.26,0,0.22
processed_msg/formatted/paper_llama2_7b,246,0.60,8.11,7.92,0.167,0.24
processed_msg/formatted/paper_llama2_7b,247,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,248,0.50,11.57,10.36,0.286,0.24
processed_msg/formatted/paper_llama2_7b,249,0.50,9.95,9.16,0,0.17
processed_msg/formatted/paper_llama2_7b,250,0.25,12.91,8.98,0.333,0.12
processed_msg/formatted/paper_llama2_7b,251,0.14,16.15,8.25,0.182,0.07
processed_msg/formatted/paper_llama2_7b,252,0.25,13.89,8.02,0,0.11
processed_msg/formatted/paper_llama2_7b,253,0.21,9.25,8.98,0.118,0.11
processed_msg/formatted/paper_llama2_7b,254,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,255,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,256,0.09,9.98,6.28,0,0.05
processed_msg/formatted/paper_llama2_7b,257,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,258,0.20,8.91,7.48,0,0.09
processed_msg/formatted/paper_llama2_7b,259,0.00,0.00,0.00,0,0.08
processed_msg/formatted/paper_llama2_7b,260,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,261,0.70,5.64,13.31,0.167,0.34
processed_msg/formatted/paper_llama2_7b,262,1.00,22.84,13.48,0.333,0.55
processed_msg/formatted/paper_llama2_7b,263,0.90,8.44,11.49,0.25,0.17
processed_msg/formatted/paper_llama2_7b,264,0.25,16.15,8.25,0.25,0.12
processed_msg/formatted/paper_llama2_7b,265,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,266,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,267,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,268,0.25,12.19,7.84,0,0.11
processed_msg/formatted/paper_llama2_7b,269,0.43,15.35,11.26,0.333,0.26
processed_msg/formatted/paper_llama2_7b,270,0.27,8.11,8.68,0,0.13
processed_msg/formatted/paper_llama2_7b,271,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,272,0.10,11.03,7.02,0,0.05
processed_msg/formatted/paper_llama2_7b,273,0.11,8.18,7.40,0.133,0.11
processed_msg/formatted/paper_llama2_7b,274,0.00,0.00,0.00,0,0.07
processed_msg/formatted/paper_llama2_7b,275,0.36,9.94,9.84,0.143,0.18
processed_msg/formatted/paper_llama2_7b,276,0.29,12.91,8.98,0.154,0.21
processed_msg/formatted/paper_llama2_7b,277,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,278,0.25,16.52,8.02,0.182,0.12
processed_msg/formatted/paper_llama2_7b,279,0.27,7.22,8.44,0.105,0.13
processed_msg/formatted/paper_llama2_7b,280,0.44,17.58,11.32,0.308,0.22
processed_msg/formatted/paper_llama2_7b,281,0.57,21.74,14.15,0.4,0.36
processed_msg/formatted/paper_llama2_7b,282,0.12,9.79,7.58,0.167,0.06
processed_msg/formatted/paper_llama2_7b,283,0.38,13.88,11.56,0.143,0.29
processed_msg/formatted/paper_llama2_7b,284,0.12,7.06,5.07,0.154,0.06
processed_msg/formatted/paper_llama2_7b,285,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,286,0.25,11.91,8.40,0.2,0.13
processed_msg/formatted/paper_llama2_7b,287,0.00,0.00,0.00,0,0.11
processed_msg/formatted/paper_llama2_7b,288,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,289,0.25,11.88,7.66,0.308,0.13
processed_msg/formatted/paper_llama2_7b,290,0.07,7.08,5.83,0,0.03
processed_msg/formatted/paper_llama2_7b,291,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,292,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,293,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,294,0.14,10.86,7.70,0,0.27
processed_msg/formatted/paper_llama2_7b,295,0.00,9.79,0.00,0.167,0.00
processed_msg/formatted/paper_llama2_7b,296,0.17,10.86,7.70,0,0.08
processed_msg/formatted/paper_llama2_7b,297,0.33,12.91,8.98,0.182,0.23
processed_msg/formatted/paper_llama2_7b,298,0.33,6.66,8.56,0.125,0.10
processed_msg/formatted/paper_llama2_7b,299,1.00,35.93,23.04,0.667,0.62
processed_msg/formatted/paper_llama2_7b,300,0.33,10.86,0.00,0.182,0.14
processed_msg/formatted/paper_llama2_7b,301,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,302,0.75,27.30,14.76,0.286,0.61
processed_msg/formatted/paper_llama2_7b,303,0.33,14.29,10.26,0.167,0.16
processed_msg/formatted/paper_llama2_7b,304,0.25,11.85,9.05,0.143,0.13
processed_msg/formatted/paper_llama2_7b,305,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,306,0.91,15.28,16.71,0.533,0.54
processed_msg/formatted/paper_llama2_7b,307,0.44,13.84,11.08,0.154,0.22
processed_msg/formatted/paper_llama2_7b,308,0.12,5.50,2.02,0.333,0.10
processed_msg/formatted/paper_llama2_7b,309,0.20,9.79,7.58,0,0.09
processed_msg/formatted/paper_llama2_7b,310,0.14,9.79,7.58,0.182,0.14
processed_msg/formatted/paper_llama2_7b,311,0.17,7.03,7.27,0.133,0.14
processed_msg/formatted/paper_llama2_7b,312,0.33,16.15,0.00,0.286,0.15
processed_msg/formatted/paper_llama2_7b,313,0.00,0.00,0.00,0,0.14
processed_msg/formatted/paper_llama2_7b,314,0.05,2.81,1.12,0,0.03
processed_msg/formatted/paper_llama2_7b,315,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,316,0.11,12.19,7.84,0,0.06
processed_msg/formatted/paper_llama2_7b,317,0.11,8.91,7.48,0,0.11
processed_msg/formatted/paper_llama2_7b,318,0.50,15.18,9.50,0.444,0.32
processed_msg/formatted/paper_llama2_7b,319,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,320,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,321,0.00,0.00,0.00,0,0.07
processed_msg/formatted/paper_llama2_7b,322,0.25,11.73,9.62,0.267,0.12
processed_msg/formatted/paper_llama2_7b,323,0.20,,,,
processed_msg/formatted/paper_llama2_7b,324,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,325,0.08,8.18,7.40,0.154,0.04
processed_msg/formatted/paper_llama2_7b,326,0.30,5.66,7.48,0.222,0.18
processed_msg/formatted/paper_llama2_7b,327,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,328,1.71,31.19,31.11,0.364,0.75
processed_msg/formatted/paper_llama2_7b,329,0.27,10.77,9.38,0.133,0.18
processed_msg/formatted/paper_llama2_7b,330,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,331,0.14,16.15,8.25,0,0.07
processed_msg/formatted/paper_llama2_7b,332,0.50,8.99,8.25,0.167,0.30
processed_msg/formatted/paper_llama2_7b,333,0.33,,,,
processed_msg/formatted/paper_llama2_7b,334,0.00,0.00,0.00,0,0.09
processed_msg/formatted/paper_llama2_7b,335,0.23,6.66,8.56,0.105,0.27
processed_msg/formatted/paper_llama2_7b,336,0.33,8.91,7.48,0.154,0.13
processed_msg/formatted/paper_llama2_7b,337,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,338,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,339,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,340,0.00,0.00,0.00,0,0.00
processed_msg/formatted/paper_llama2_7b,341,0.67,25.91,10.13,0.545,0.43
